campaign_id	iteration	regime_id	role	incumbent_id	challenger_id	challenger_lineage	scalar_fitness	delta_vs_incumbent	decision	novelty_score	artifact_path	status_note
campaign-6d0f628b87	1	toy_default_v1	attacker	attacker-baseline	attacker-b1a0e99519	{"batch_id":"campaign-6d0f628b87-i001","generation":1,"mutation_note":"follow positive historical delta","parent_id":"attacker-baseline"}	-0.690509	-0.017738	discard	0.041667	runs/campaign-6d0f628b87/comparisons/iter-001/attacker-attacker-b1a0e99519.json	loses comparator by 0.018 without compensating novelty
campaign-6d0f628b87	1	toy_default_v1	attacker	attacker-baseline	attacker-4a87a2b4af	{"batch_id":"campaign-6d0f628b87-i001","generation":1,"mutation_note":"counter incumbent defender surface","parent_id":"attacker-baseline"}	-0.676075	-0.003304	archive_interesting	0.035000	runs/campaign-6d0f628b87/comparisons/iter-001/attacker-attacker-4a87a2b4af.json	informative result: delta -0.003, novelty 0.035
campaign-6d0f628b87	1	toy_default_v1	attacker	attacker-baseline	attacker-b0fdf27b6c	{"batch_id":"campaign-6d0f628b87-i001","generation":1,"mutation_note":"raise conversion pressure while keeping heat bounded","parent_id":"attacker-baseline"}	-0.550486	0.122285	promote	0.029933	runs/campaign-6d0f628b87/comparisons/iter-001/attacker-attacker-b0fdf27b6c.json	beats comparator by 0.122 with novelty 0.030
campaign-6d0f628b87	1	toy_default_v1	defender	defender-baseline	defender-6c471aafd9	{"batch_id":"campaign-6d0f628b87-i001","generation":1,"mutation_note":"follow positive historical delta","parent_id":"defender-baseline"}	-0.398552	0.036144	archive_interesting	0.027400	runs/campaign-6d0f628b87/comparisons/iter-001/defender-defender-6c471aafd9.json	informative result: delta 0.036, novelty 0.027
campaign-6d0f628b87	1	toy_default_v1	defender	defender-baseline	defender-f7d5bfd82c	{"batch_id":"campaign-6d0f628b87-i001","generation":1,"mutation_note":"counter incumbent attacker surface","parent_id":"defender-baseline"}	-0.363797	0.070899	promote	0.042967	runs/campaign-6d0f628b87/comparisons/iter-001/defender-defender-f7d5bfd82c.json	beats comparator by 0.071 with novelty 0.043
campaign-6d0f628b87	1	toy_default_v1	defender	defender-baseline	defender-b382acd673	{"batch_id":"campaign-6d0f628b87-i001","generation":1,"mutation_note":"trade excess sensitivity for harder blocking","parent_id":"defender-baseline"}	-0.413499	0.021197	archive_interesting	0.030800	runs/campaign-6d0f628b87/comparisons/iter-001/defender-defender-b382acd673.json	informative result: delta 0.021, novelty 0.031
campaign-6d0f628b87	2	toy_default_v1	attacker	attacker-b0fdf27b6c	attacker-e032b99d59	{"batch_id":"campaign-6d0f628b87-i002","generation":2,"mutation_note":"follow positive historical delta","parent_id":"attacker-b0fdf27b6c"}	-0.561050	0.099004	archive_interesting	0.025033	runs/campaign-6d0f628b87/comparisons/iter-002/attacker-attacker-e032b99d59.json	beats incumbent but loses same-iteration comparison to attacker-5021dd83db (-0.561 vs -0.541)
campaign-6d0f628b87	2	toy_default_v1	attacker	attacker-b0fdf27b6c	attacker-5021dd83db	{"batch_id":"campaign-6d0f628b87-i002","generation":2,"mutation_note":"counter incumbent defender surface","parent_id":"attacker-b0fdf27b6c"}	-0.540518	0.119536	promote	0.037900	runs/campaign-6d0f628b87/comparisons/iter-002/attacker-attacker-5021dd83db.json	beats comparator by 0.120 with novelty 0.038
campaign-6d0f628b87	2	toy_default_v1	attacker	attacker-b0fdf27b6c	attacker-89d8de6fa4	{"batch_id":"campaign-6d0f628b87-i002","generation":2,"mutation_note":"raise conversion pressure while keeping heat bounded","parent_id":"attacker-b0fdf27b6c"}	-0.542251	0.117803	archive_interesting	0.041133	runs/campaign-6d0f628b87/comparisons/iter-002/attacker-attacker-89d8de6fa4.json	beats incumbent but loses same-iteration comparison to attacker-5021dd83db (-0.542 vs -0.541)
campaign-6d0f628b87	2	toy_default_v1	defender	defender-f7d5bfd82c	defender-e89f00fa0f	{"batch_id":"campaign-6d0f628b87-i002","generation":2,"mutation_note":"follow positive historical delta","parent_id":"defender-f7d5bfd82c"}	-0.378785	0.031500	archive_interesting	0.036000	runs/campaign-6d0f628b87/comparisons/iter-002/defender-defender-e89f00fa0f.json	informative result: delta 0.032, novelty 0.036
campaign-6d0f628b87	2	toy_default_v1	defender	defender-f7d5bfd82c	defender-c1095bf7ea	{"batch_id":"campaign-6d0f628b87-i002","generation":2,"mutation_note":"counter incumbent attacker surface","parent_id":"defender-f7d5bfd82c"}	-0.390503	0.019782	archive_interesting	0.047367	runs/campaign-6d0f628b87/comparisons/iter-002/defender-defender-c1095bf7ea.json	informative result: delta 0.020, novelty 0.047
campaign-6d0f628b87	2	toy_default_v1	defender	defender-f7d5bfd82c	defender-0e66185885	{"batch_id":"campaign-6d0f628b87-i002","generation":2,"mutation_note":"trade excess sensitivity for harder blocking","parent_id":"defender-f7d5bfd82c"}	-0.346976	0.063309	promote	0.031633	runs/campaign-6d0f628b87/comparisons/iter-002/defender-defender-0e66185885.json	beats comparator by 0.063 with novelty 0.032
campaign-6d0f628b87	3	toy_default_v1	attacker	attacker-5021dd83db	attacker-3ace0c1287	{"batch_id":"campaign-6d0f628b87-i003","generation":3,"mutation_note":"follow positive historical delta","parent_id":"attacker-5021dd83db"}	-0.857739	-0.288797	discard	0.028100	runs/campaign-6d0f628b87/comparisons/iter-003/attacker-attacker-3ace0c1287.json	loses comparator by 0.289 without compensating novelty
campaign-6d0f628b87	3	toy_default_v1	attacker	attacker-5021dd83db	attacker-1223e0ecbb	{"batch_id":"campaign-6d0f628b87-i003","generation":3,"mutation_note":"counter incumbent defender surface","parent_id":"attacker-5021dd83db"}	-0.861323	-0.292381	discard	0.042100	runs/campaign-6d0f628b87/comparisons/iter-003/attacker-attacker-1223e0ecbb.json	loses comparator by 0.292 without compensating novelty
campaign-6d0f628b87	3	toy_default_v1	attacker	attacker-5021dd83db	attacker-11aacfbd8e	{"batch_id":"campaign-6d0f628b87-i003","generation":3,"mutation_note":"raise conversion pressure while keeping heat bounded","parent_id":"attacker-5021dd83db"}	-0.864099	-0.295157	discard	0.039867	runs/campaign-6d0f628b87/comparisons/iter-003/attacker-attacker-11aacfbd8e.json	loses comparator by 0.295 without compensating novelty
campaign-6d0f628b87	3	toy_default_v1	defender	defender-0e66185885	defender-0ef4ee4690	{"batch_id":"campaign-6d0f628b87-i003","generation":3,"mutation_note":"follow positive historical delta","parent_id":"defender-0e66185885"}	-0.361988	0.066165	archive_interesting	0.032300	runs/campaign-6d0f628b87/comparisons/iter-003/defender-defender-0ef4ee4690.json	beats incumbent but loses same-iteration comparison to defender-78930f158c (-0.362 vs -0.315)
campaign-6d0f628b87	3	toy_default_v1	defender	defender-0e66185885	defender-78930f158c	{"batch_id":"campaign-6d0f628b87-i003","generation":3,"mutation_note":"counter incumbent attacker surface","parent_id":"defender-0e66185885"}	-0.315161	0.112992	promote	0.055600	runs/campaign-6d0f628b87/comparisons/iter-003/defender-defender-78930f158c.json	beats comparator by 0.113 with novelty 0.056
campaign-6d0f628b87	3	toy_default_v1	defender	defender-0e66185885	defender-10c0239a10	{"batch_id":"campaign-6d0f628b87-i003","generation":3,"mutation_note":"trade excess sensitivity for harder blocking","parent_id":"defender-0e66185885"}	-0.428169	-0.000016	archive_interesting	0.028400	runs/campaign-6d0f628b87/comparisons/iter-003/defender-defender-10c0239a10.json	informative result: delta -0.000, novelty 0.028
campaign-6d0f628b87	4	toy_default_v1	attacker	attacker-5021dd83db	attacker-462707e3e7	{"batch_id":"campaign-6d0f628b87-i004","generation":3,"mutation_note":"follow positive historical delta","parent_id":"attacker-5021dd83db"}	-0.850882	-0.179760	discard	0.030400	runs/campaign-6d0f628b87/comparisons/iter-004/attacker-attacker-462707e3e7.json	loses comparator by 0.180 without compensating novelty
campaign-6d0f628b87	4	toy_default_v1	attacker	attacker-5021dd83db	attacker-04c90698a2	{"batch_id":"campaign-6d0f628b87-i004","generation":3,"mutation_note":"counter incumbent defender surface","parent_id":"attacker-5021dd83db"}	-0.867055	-0.195933	discard	0.045333	runs/campaign-6d0f628b87/comparisons/iter-004/attacker-attacker-04c90698a2.json	loses comparator by 0.196 without compensating novelty
campaign-6d0f628b87	4	toy_default_v1	attacker	attacker-5021dd83db	attacker-0f3192c57a	{"batch_id":"campaign-6d0f628b87-i004","generation":3,"mutation_note":"raise conversion pressure while keeping heat bounded","parent_id":"attacker-5021dd83db"}	-0.852370	-0.181248	discard	0.036100	runs/campaign-6d0f628b87/comparisons/iter-004/attacker-attacker-0f3192c57a.json	loses comparator by 0.181 without compensating novelty
campaign-6d0f628b87	4	toy_default_v1	defender	defender-78930f158c	defender-8e4614f194	{"batch_id":"campaign-6d0f628b87-i004","generation":4,"mutation_note":"follow positive historical delta","parent_id":"defender-78930f158c"}	-0.353210	-0.038049	discard	0.038067	runs/campaign-6d0f628b87/comparisons/iter-004/defender-defender-8e4614f194.json	loses comparator by 0.038 without compensating novelty
campaign-6d0f628b87	4	toy_default_v1	defender	defender-78930f158c	defender-f15844b6e2	{"batch_id":"campaign-6d0f628b87-i004","generation":4,"mutation_note":"counter incumbent attacker surface","parent_id":"defender-78930f158c"}	-0.438681	-0.123520	discard	0.046533	runs/campaign-6d0f628b87/comparisons/iter-004/defender-defender-f15844b6e2.json	loses comparator by 0.124 without compensating novelty
campaign-6d0f628b87	4	toy_default_v1	defender	defender-78930f158c	defender-a3bd398718	{"batch_id":"campaign-6d0f628b87-i004","generation":4,"mutation_note":"trade excess sensitivity for harder blocking","parent_id":"defender-78930f158c"}	-0.395517	-0.080356	discard	0.036233	runs/campaign-6d0f628b87/comparisons/iter-004/defender-defender-a3bd398718.json	loses comparator by 0.080 without compensating novelty
campaign-b6a598174c	1	toy_default_v1	attacker	attacker-5021dd83db	attacker-cedb1262e6	{"batch_id":"campaign-b6a598174c-i001","generation":3,"mutation_note":"follow positive historical delta","parent_id":"attacker-5021dd83db"}	-0.859860	-0.188738	discard	0.030567	runs/campaign-b6a598174c/comparisons/iter-001/attacker-attacker-cedb1262e6.json	loses comparator by 0.189 without compensating novelty
campaign-b6a598174c	1	toy_default_v1	attacker	attacker-5021dd83db	attacker-3f9279cfaa	{"batch_id":"campaign-b6a598174c-i001","generation":3,"mutation_note":"counter incumbent defender surface","parent_id":"attacker-5021dd83db"}	-0.869770	-0.198648	discard	0.045700	runs/campaign-b6a598174c/comparisons/iter-001/attacker-attacker-3f9279cfaa.json	loses comparator by 0.199 without compensating novelty
campaign-b6a598174c	1	toy_default_v1	attacker	attacker-5021dd83db	attacker-c8f12f7ddf	{"batch_id":"campaign-b6a598174c-i001","generation":3,"mutation_note":"raise conversion pressure while keeping heat bounded","parent_id":"attacker-5021dd83db"}	-0.843855	-0.172733	discard	0.045400	runs/campaign-b6a598174c/comparisons/iter-001/attacker-attacker-c8f12f7ddf.json	loses comparator by 0.173 without compensating novelty
campaign-b6a598174c	1	toy_default_v1	defender	defender-78930f158c	defender-3d99b307c6	{"batch_id":"campaign-b6a598174c-i001","generation":4,"mutation_note":"follow positive historical delta","parent_id":"defender-78930f158c"}	-0.368155	-0.052994	discard	0.040033	runs/campaign-b6a598174c/comparisons/iter-001/defender-defender-3d99b307c6.json	loses comparator by 0.053 without compensating novelty
campaign-b6a598174c	1	toy_default_v1	defender	defender-78930f158c	defender-877a4d2d1f	{"batch_id":"campaign-b6a598174c-i001","generation":4,"mutation_note":"counter incumbent attacker surface","parent_id":"defender-78930f158c"}	-0.369476	-0.054315	discard	0.048933	runs/campaign-b6a598174c/comparisons/iter-001/defender-defender-877a4d2d1f.json	loses comparator by 0.054 without compensating novelty
campaign-b6a598174c	1	toy_default_v1	defender	defender-78930f158c	defender-0ae109380e	{"batch_id":"campaign-b6a598174c-i001","generation":4,"mutation_note":"trade excess sensitivity for harder blocking","parent_id":"defender-78930f158c"}	-0.399879	-0.084718	discard	0.030733	runs/campaign-b6a598174c/comparisons/iter-001/defender-defender-0ae109380e.json	loses comparator by 0.085 without compensating novelty
campaign-b6a598174c	2	toy_default_v1	attacker	attacker-5021dd83db	attacker-9f93b505e3	{"batch_id":"campaign-b6a598174c-i002","generation":3,"mutation_note":"follow positive historical delta","parent_id":"attacker-5021dd83db"}	-0.854826	-0.183704	discard	0.021700	runs/campaign-b6a598174c/comparisons/iter-002/attacker-attacker-9f93b505e3.json	loses comparator by 0.184 without compensating novelty
campaign-b6a598174c	2	toy_default_v1	attacker	attacker-5021dd83db	attacker-37c757e8cf	{"batch_id":"campaign-b6a598174c-i002","generation":3,"mutation_note":"counter incumbent defender surface","parent_id":"attacker-5021dd83db"}	-0.857342	-0.186220	discard	0.048500	runs/campaign-b6a598174c/comparisons/iter-002/attacker-attacker-37c757e8cf.json	loses comparator by 0.186 without compensating novelty
campaign-b6a598174c	2	toy_default_v1	attacker	attacker-5021dd83db	attacker-5e15821040	{"batch_id":"campaign-b6a598174c-i002","generation":3,"mutation_note":"raise conversion pressure while keeping heat bounded","parent_id":"attacker-5021dd83db"}	-0.854195	-0.183073	discard	0.044733	runs/campaign-b6a598174c/comparisons/iter-002/attacker-attacker-5e15821040.json	loses comparator by 0.183 without compensating novelty
campaign-b6a598174c	2	toy_default_v1	defender	defender-78930f158c	defender-c6b243a0e4	{"batch_id":"campaign-b6a598174c-i002","generation":4,"mutation_note":"follow positive historical delta","parent_id":"defender-78930f158c"}	-0.389034	-0.073873	discard	0.036367	runs/campaign-b6a598174c/comparisons/iter-002/defender-defender-c6b243a0e4.json	loses comparator by 0.074 without compensating novelty
campaign-b6a598174c	2	toy_default_v1	defender	defender-78930f158c	defender-9a7a316b07	{"batch_id":"campaign-b6a598174c-i002","generation":4,"mutation_note":"counter incumbent attacker surface","parent_id":"defender-78930f158c"}	-0.307923	0.007238	archive_interesting	0.047133	runs/campaign-b6a598174c/comparisons/iter-002/defender-defender-9a7a316b07.json	informative result: delta 0.007, novelty 0.047
campaign-b6a598174c	2	toy_default_v1	defender	defender-78930f158c	defender-50c2a7c55e	{"batch_id":"campaign-b6a598174c-i002","generation":4,"mutation_note":"trade excess sensitivity for harder blocking","parent_id":"defender-78930f158c"}	-0.385678	-0.070517	discard	0.029167	runs/campaign-b6a598174c/comparisons/iter-002/defender-defender-50c2a7c55e.json	loses comparator by 0.071 without compensating novelty
campaign-b6a598174c	3	toy_default_v1	attacker	attacker-5021dd83db	attacker-ccbaf15e36	{"batch_id":"campaign-b6a598174c-i003","generation":3,"mutation_note":"follow positive historical delta","parent_id":"attacker-5021dd83db"}	-0.859476	-0.188354	discard	0.035400	runs/campaign-b6a598174c/comparisons/iter-003/attacker-attacker-ccbaf15e36.json	loses comparator by 0.188 without compensating novelty
campaign-b6a598174c	3	toy_default_v1	attacker	attacker-5021dd83db	attacker-666923b30d	{"batch_id":"campaign-b6a598174c-i003","generation":3,"mutation_note":"counter incumbent defender surface","parent_id":"attacker-5021dd83db"}	-0.863319	-0.192197	discard	0.049433	runs/campaign-b6a598174c/comparisons/iter-003/attacker-attacker-666923b30d.json	loses comparator by 0.192 without compensating novelty
campaign-b6a598174c	3	toy_default_v1	attacker	attacker-5021dd83db	attacker-8fc1cc27db	{"batch_id":"campaign-b6a598174c-i003","generation":3,"mutation_note":"raise conversion pressure while keeping heat bounded","parent_id":"attacker-5021dd83db"}	-0.865100	-0.193978	discard	0.045400	runs/campaign-b6a598174c/comparisons/iter-003/attacker-attacker-8fc1cc27db.json	loses comparator by 0.194 without compensating novelty
campaign-b6a598174c	3	toy_default_v1	defender	defender-78930f158c	defender-fadac2355a	{"batch_id":"campaign-b6a598174c-i003","generation":4,"mutation_note":"follow positive historical delta","parent_id":"defender-78930f158c"}	-0.380879	-0.065718	discard	0.029600	runs/campaign-b6a598174c/comparisons/iter-003/defender-defender-fadac2355a.json	loses comparator by 0.066 without compensating novelty
campaign-b6a598174c	3	toy_default_v1	defender	defender-78930f158c	defender-3c5ff08371	{"batch_id":"campaign-b6a598174c-i003","generation":4,"mutation_note":"counter incumbent attacker surface","parent_id":"defender-78930f158c"}	-0.445986	-0.130825	discard	0.047067	runs/campaign-b6a598174c/comparisons/iter-003/defender-defender-3c5ff08371.json	loses comparator by 0.131 without compensating novelty
campaign-b6a598174c	3	toy_default_v1	defender	defender-78930f158c	defender-2139896792	{"batch_id":"campaign-b6a598174c-i003","generation":4,"mutation_note":"trade excess sensitivity for harder blocking","parent_id":"defender-78930f158c"}	-0.340375	-0.025214	discard	0.042433	runs/campaign-b6a598174c/comparisons/iter-003/defender-defender-2139896792.json	loses comparator by 0.025 without compensating novelty
campaign-1b1797ed6c	1	toy_default_v1	attacker	attacker-5021dd83db	attacker-dfabab68a8	{"batch_id":"campaign-1b1797ed6c-i001","generation":3,"mutation_note":"follow positive historical delta","parent_id":"attacker-5021dd83db"}	-0.852705	-0.181583	discard	0.030567	runs/campaign-1b1797ed6c/comparisons/iter-001/attacker-attacker-dfabab68a8.json	loses comparator by 0.182 without compensating novelty
campaign-1b1797ed6c	1	toy_default_v1	attacker	attacker-5021dd83db	attacker-84accee45a	{"batch_id":"campaign-1b1797ed6c-i001","generation":3,"mutation_note":"counter incumbent defender surface","parent_id":"attacker-5021dd83db"}	-0.877497	-0.206375	discard	0.049400	runs/campaign-1b1797ed6c/comparisons/iter-001/attacker-attacker-84accee45a.json	loses comparator by 0.206 without compensating novelty
campaign-1b1797ed6c	1	toy_default_v1	attacker	attacker-5021dd83db	attacker-1c7517c18b	{"batch_id":"campaign-1b1797ed6c-i001","generation":3,"mutation_note":"raise conversion pressure while keeping heat bounded","parent_id":"attacker-5021dd83db"}	-0.863508	-0.192386	discard	0.038100	runs/campaign-1b1797ed6c/comparisons/iter-001/attacker-attacker-1c7517c18b.json	loses comparator by 0.192 without compensating novelty
campaign-1b1797ed6c	1	toy_default_v1	defender	defender-78930f158c	defender-bccff29f27	{"batch_id":"campaign-1b1797ed6c-i001","generation":4,"mutation_note":"follow positive historical delta","parent_id":"defender-78930f158c"}	-0.356534	-0.041373	discard	0.037367	runs/campaign-1b1797ed6c/comparisons/iter-001/defender-defender-bccff29f27.json	loses comparator by 0.041 without compensating novelty
campaign-1b1797ed6c	1	toy_default_v1	defender	defender-78930f158c	defender-c271189061	{"batch_id":"campaign-1b1797ed6c-i001","generation":4,"mutation_note":"counter incumbent attacker surface","parent_id":"defender-78930f158c"}	-0.309024	0.006137	archive_interesting	0.050367	runs/campaign-1b1797ed6c/comparisons/iter-001/defender-defender-c271189061.json	informative result: delta 0.006, novelty 0.050
campaign-1b1797ed6c	1	toy_default_v1	defender	defender-78930f158c	defender-108ab800ca	{"batch_id":"campaign-1b1797ed6c-i001","generation":4,"mutation_note":"trade excess sensitivity for harder blocking","parent_id":"defender-78930f158c"}	-0.338265	-0.023104	discard	0.028500	runs/campaign-1b1797ed6c/comparisons/iter-001/defender-defender-108ab800ca.json	loses comparator by 0.023 without compensating novelty
